district_id,district,population
1,Barguna,895829
2,Barishal,2254025
3,Bhola,1852530
4,Jhalokati,672786
5,Patuakhali,1622723
6,Pirojpur,1096341
7,Bandarban,530637
8,Brahmanbaria,3256274
9,Chandpur,2653140
10,Chattogram,8508872
11,Cox's Bazar,2754407
12,Cumilla,6033941
13,Feni,1607602
14,Khagrachhari,720601
15,Lakshmipur,2008710
16,Noakhali,3529493
17,Rangamati,716391
18,Dhaka,16073798
19,Faridpur,2098180
20,Gazipur,5964537
21,Gopalganj,1130043
22,Kishoreganj,3270219
23,Madaripur,1205242
24,Manikganj,1531570
25,Munshiganj,1699232
26,Narayanganj,3741209
27,Narsingdi,2591578
28,Rajbari,1186126
29,Shariatpur,1303545
30,Tangail,3838425
31,Bagerhat,1436542
32,Chuadanga,1240759
33,Jashore,3059643
34,Jhenaidah,1929395
35,Khulna,2315229
36,Kushtia,2117044
37,Magura,1007595
38,Meherpur,694231
39,Narail,764309
40,Satkhira,2111739
41,Jamalpur,2459313
42,Mymensingh,5726281
43,Netrokona,2401271
44,Sherpur,1428106
45,Bogura,3832255
46,Chapainawabganj,1902361
47,Joypurhat,959334
48,Naogaon,2814214
49,Natore,1909100
50,Pabna,2885062
51,Rajshahi,2976507
52,Sirajganj,3588077
53,Dinajpur,3300628
54,Gaibandha,2620112
55,Kurigram,2341056
56,Lalmonirhat,1416484
57,Nilphamari,2005621
58,Panchagarh,1120191
59,Rangpur,3205599
60,Thakurgaon,1544038
61,Habiganj,2393098
62,Moulvibazar,2224747
63,Sunamganj,2910068
64,Sylhet,4385105
