district_id,district,division,dghs_report_name,lat,lon
1,Barguna,Barishal,Barguna,22.15423,89.97794
2,Barishal,Barishal,Barishal,22.82256,90.24901
3,Bhola,Barishal,Bhola,22.3981,90.76795
4,Jhalokati,Barishal,Jhalokati,22.56161,90.12634
5,Patuakhali,Barishal,Patuakhali,22.2606,90.49976
6,Pirojpur,Barishal,Pirojpur,22.51427,89.99539
7,Bandarban,Chattogram,Bandarban,21.77213,92.38741
8,Brahmanbaria,Chattogram,Brahmanbaria,23.94924,91.10958
9,Chandpur,Chattogram,Chandpur,23.2485,90.80295
10,Chattogram,Chattogram,Chattogram,22.424,91.92774
11,Cox's Bazar,Chattogram,Cox's Bazar,21.33214,92.09243
12,Cumilla,Chattogram,Cumilla,23.4208,91.07624
13,Feni,Chattogram,Feni,23.02071,91.40195
14,Khagrachhari,Chattogram,Khagrachhari,23.21157,91.96206
15,Lakshmipur,Chattogram,Lakshmipur,22.86259,90.85911
16,Noakhali,Chattogram,Noakhali,22.81751,91.12011
17,Rangamati,Chattogram,Rangamati,22.79629,92.22285
18,Dhaka,Dhaka,Dhaka,23.78616,90.35907
19,Faridpur,Dhaka,Faridpur,23.46903,89.87406
20,Gazipur,Dhaka,Gazipur,24.0918,90.40922
21,Gopalganj,Dhaka,Gopalganj,23.10478,89.86468
22,Kishoreganj,Dhaka,Kishoreganj,24.3345,90.92926
23,Madaripur,Dhaka,Madaripur,23.23061,90.12335
24,Manikganj,Dhaka,Manikganj,23.83622,89.95972
25,Munshiganj,Dhaka,Munshiganj,23.52796,90.42881
26,Narayanganj,Dhaka,Narayanganj,23.71659,90.61635
27,Narsingdi,Dhaka,Narsingdi,24.00734,90.80428
28,Rajbari,Dhaka,Rajbari,23.73886,89.57366
29,Shariatpur,Dhaka,Shariatpur,23.22963,90.42336
30,Tangail,Dhaka,Tangail,24.37323,89.99857
31,Bagerhat,Khulna,Bagerhat,22.40935,89.74761
32,Chuadanga,Khulna,Chuadanga,23.60031,88.8215
33,Jashore,Khulna,Jashore,23.08592,89.12505
34,Jhenaidah,Khulna,Jhenaidah,23.50089,89.12606
35,Khulna,Khulna,Khulna,22.50018,89.33237
36,Kushtia,Khulna,Kushtia,23.94577,88.98224
37,Magura,Khulna,Magura,23.4705,89.45336
38,Meherpur,Khulna,Meherpur,23.78748,88.69772
39,Narail,Khulna,Narail,23.12901,89.53023
40,Satkhira,Khulna,Satkhira,22.47521,89.1398
41,Jamalpur,Mymensingh,Jamalpur,24.99878,89.77711
42,Mymensingh,Mymensingh,Mymensingh,24.7228,90.41711
43,Netrokona,Mymensingh,Netrokona,24.88664,90.79283
44,Sherpur,Mymensingh,Sherpur,25.09146,90.09319
45,Bogura,Rajshahi,Bogura,24.82712,89.32653
46,Chapainawabganj,Rajshahi,Chapainawabganj,24.68863,88.25601
47,Joypurhat,Rajshahi,Joypurhat,25.0677,89.09629
48,Naogaon,Rajshahi,Naogaon,24.87514,88.73991
49,Natore,Rajshahi,Natore,24.3926,89.0895
50,Pabna,Rajshahi,Pabna,24.07768,89.32997
51,Rajshahi,Rajshahi,Rajshahi,24.41359,88.60455
52,Sirajganj,Rajshahi,Sirajganj,24.39546,89.52268
53,Dinajpur,Rangpur,Dinajpur,25.63808,88.72622
54,Gaibandha,Rangpur,Gaibandha,25.34441,89.53461
55,Kurigram,Rangpur,Kurigram,25.79975,89.64515
56,Lalmonirhat,Rangpur,Lalmonirhat,26.12161,89.16344
57,Nilphamari,Rangpur,Nilphamari,26.02231,88.92069
58,Panchagarh,Rangpur,Panchagarh,26.32049,88.5526
59,Rangpur,Rangpur,Rangpur,25.635,89.26312
60,Thakurgaon,Rangpur,Thakurgaon,25.93173,88.30103
61,Habiganj,Sylhet,Habiganj,24.33877,91.43092
62,Moulvibazar,Sylhet,Moulvibazar,24.48614,91.8815
63,Sunamganj,Sylhet,Sunamganj,24.88816,91.38905
64,Sylhet,Sylhet,Sylhet,24.89067,91.96069
