source_id,target_id,adjacency,centroid_dist_km,road_dist_km
1,2,1,79.36,
1,4,1,47.8,
1,5,1,55.01,
1,6,1,40.07,
1,31,1,36.96,
2,1,1,79.36,
2,3,1,71.17,
2,4,1,31.63,
2,5,1,67.59,
2,6,1,43.04,
2,21,1,50.33,
2,23,1,47.16,
2,29,1,48.65,
3,2,1,71.17,
3,5,1,31.54,
3,15,1,52.49,
3,16,1,59.01,
4,1,1,47.8,
4,2,1,31.63,
4,6,1,14.44,
5,1,1,55.01,
5,2,1,67.59,
5,3,1,31.54,
6,1,1,40.07,
6,2,1,43.04,
6,4,1,14.44,
6,21,1,67.01,
6,31,1,28.01,
7,10,1,86.58,
7,11,1,57.66,
7,17,1,115.13,
8,12,1,58.86,
8,22,1,46.58,
8,26,1,56.45,
8,27,1,31.68,
8,61,1,54.21,
9,12,1,33.85,
9,15,1,43.29,
9,16,1,57.88,
9,25,1,49.23,
9,29,1,38.84,
10,7,1,86.58,
10,11,1,122.59,
10,13,1,85.5,
10,14,1,87.64,
10,16,1,93.74,
10,17,1,51.3,
11,7,1,57.66,
11,10,1,122.59,
12,8,1,58.86,
12,9,1,33.85,
12,13,1,55.56,
12,16,1,67.23,
12,25,1,67.1,
12,26,1,57.26,
13,10,1,85.5,
13,12,1,55.56,
13,16,1,36.66,
14,10,1,87.64,
14,17,1,53.34,
15,3,1,52.49,
15,9,1,43.29,
15,16,1,27.21,
16,3,1,59.01,
16,9,1,57.88,
16,10,1,93.74,
16,12,1,67.23,
16,13,1,36.66,
16,15,1,27.21,
17,7,1,115.13,
17,10,1,51.3,
17,14,1,53.34,
18,19,1,60.7,
18,20,1,34.37,
18,24,1,41.01,
18,25,1,29.58,
18,26,1,27.3,
18,30,1,74.84,
19,18,1,60.7,
19,21,1,40.51,
19,23,1,36.75,
19,24,1,41.75,
19,25,1,56.95,
19,28,1,42.86,
19,37,1,42.91,
19,39,1,51.6,
20,18,1,34.37,
20,22,1,59.24,
20,26,1,46.73,
20,27,1,41.2,
20,30,1,52.09,
20,42,1,70.17,
21,2,1,50.33,
21,6,1,67.01,
21,19,1,40.51,
21,23,1,29.92,
21,31,1,78.25,
21,39,1,34.31,
22,8,1,46.58,
22,20,1,59.24,
22,27,1,38.52,
22,42,1,67.44,
22,43,1,62.93,
22,61,1,50.83,
22,63,1,77.14,
23,2,1,47.16,
23,19,1,36.75,
23,21,1,29.92,
23,25,1,45.44,
23,29,1,30.66,
24,18,1,41.01,
24,19,1,41.75,
24,28,1,40.75,
24,30,1,59.84,
24,50,1,69.4,
24,52,1,76.38,
25,9,1,49.23,
25,12,1,67.1,
25,18,1,29.58,
25,19,1,56.95,
25,23,1,45.44,
25,26,1,28.37,
25,29,1,33.18,
26,8,1,56.45,
26,12,1,57.26,
26,18,1,27.3,
26,20,1,46.73,
26,25,1,28.37,
26,27,1,37.56,
27,8,1,31.68,
27,20,1,41.2,
27,22,1,38.52,
27,26,1,37.56,
28,19,1,42.86,
28,24,1,40.75,
28,34,1,52.72,
28,36,1,64.4,
28,37,1,32.26,
28,50,1,45.09,
29,2,1,48.65,
29,9,1,38.84,
29,23,1,30.66,
29,25,1,33.18,
30,18,1,74.84,
30,20,1,52.09,
30,24,1,59.84,
30,41,1,73.07,
30,42,1,57.47,
30,52,1,48.26,
31,1,1,36.96,
31,6,1,28.01,
31,21,1,78.25,
31,35,1,43.85,
31,39,1,83.07,
32,34,1,32.95,
32,36,1,41.75,
32,38,1,24.33,
33,34,1,46.14,
33,35,1,68.51,
33,37,1,54.34,
33,39,1,41.72,
33,40,1,67.92,
34,28,1,52.72,
34,32,1,32.95,
34,33,1,46.14,
34,36,1,51.59,
34,37,1,33.55,
35,31,1,43.85,
35,33,1,68.51,
35,39,1,72.8,
35,40,1,19.98,
36,28,1,64.4,
36,32,1,41.75,
36,34,1,51.59,
36,38,1,33.87,
36,49,1,50.86,
36,50,1,38.24,
36,51,1,64.61,
37,19,1,42.91,
37,28,1,32.26,
37,33,1,54.34,
37,34,1,33.55,
37,39,1,38.77,
38,32,1,24.33,
38,36,1,33.87,
39,19,1,51.6,
39,21,1,34.31,
39,31,1,83.07,
39,33,1,41.72,
39,35,1,72.8,
39,37,1,38.77,
40,33,1,67.92,
40,35,1,19.98,
41,30,1,73.07,
41,42,1,71.49,
41,44,1,33.47,
41,45,1,49.29,
41,52,1,71.84,
41,54,1,45.53,
41,55,1,90.04,
42,20,1,70.17,
42,22,1,67.44,
42,30,1,57.47,
42,41,1,71.49,
42,43,1,42.07,
42,44,1,52.42,
43,22,1,62.93,
43,42,1,42.07,
43,63,1,60.14,
44,41,1,33.47,
44,42,1,52.42,
45,41,1,49.29,
45,47,1,35.42,
45,48,1,59.43,
45,49,1,53.93,
45,52,1,51.93,
45,54,1,61.22,
46,48,1,53.07,
46,51,1,46.67,
47,45,1,35.42,
47,48,1,41.82,
47,53,1,73.52,
47,54,1,53.77,
48,45,1,59.43,
48,46,1,53.07,
48,47,1,41.82,
48,49,1,64.25,
48,51,1,53.11,
49,36,1,50.86,
49,45,1,53.93,
49,48,1,64.25,
49,50,1,42.67,
49,51,1,49.16,
49,52,1,43.87,
50,24,1,69.4,
50,28,1,45.09,
50,36,1,38.24,
50,49,1,42.67,
50,52,1,40.38,
51,36,1,64.61,
51,46,1,46.67,
51,48,1,53.11,
51,49,1,49.16,
52,24,1,76.38,
52,30,1,48.26,
52,41,1,71.84,
52,45,1,51.93,
52,49,1,43.87,
52,50,1,40.38,
53,47,1,73.52,
53,54,1,87.46,
53,57,1,46.95,
53,58,1,77.84,
53,59,1,53.82,
53,60,1,53.65,
54,41,1,45.53,
54,45,1,61.22,
54,47,1,53.77,
54,53,1,87.46,
54,55,1,51.83,
54,59,1,42.27,
55,41,1,90.04,
55,54,1,51.83,
55,56,1,60.0,
55,59,1,42.43,
56,55,1,60.0,
56,57,1,26.64,
56,59,1,55.02,
57,53,1,46.95,
57,56,1,26.64,
57,58,1,49.48,
57,59,1,55.04,
58,53,1,77.84,
58,57,1,49.48,
58,60,1,49.99,
59,53,1,53.82,
59,54,1,42.27,
59,55,1,42.43,
59,56,1,55.02,
59,57,1,55.04,
60,53,1,53.65,
60,58,1,49.99,
61,8,1,54.21,
61,22,1,50.83,
61,62,1,48.48,
61,63,1,61.24,
61,64,1,81.45,
62,61,1,48.48,
62,64,1,45.69,
63,22,1,77.14,
63,43,1,60.14,
63,61,1,61.24,
63,64,1,57.66,
64,61,1,81.45,
64,62,1,45.69,
