date,division,Patients,max temp,min temp,rainfall,humidity
1/1/2022,Barishal,1,24.2,15.2,0,76
1/2/2022,Barishal,0,23.8,14.4,0,79
1/3/2022,Barishal,0,23.9,14.5,0,81
1/4/2022,Barishal,1,24.2,14.1,0,77
1/5/2022,Barishal,0,24.3,14.1,0,82
1/6/2022,Barishal,0,25,14.3,0,82
1/7/2022,Barishal,0,25.6,15.6,0,78
1/8/2022,Barishal,0,26.2,15.7,0,75
1/9/2022,Barishal,0,26.4,15.5,0,74
1/10/2022,Barishal,0,26.8,15.7,0,76
1/11/2022,Barishal,0,27.1,16.8,0,73
1/12/2022,Barishal,1,23.3,18.4,3.4,83
1/13/2022,Barishal,0,24.9,16.5,0,84
1/14/2022,Barishal,0,21.9,17.1,1.5,82
1/15/2022,Barishal,0,23.1,16.2,0,76
1/16/2022,Barishal,0,24.3,14.6,0,69
1/17/2022,Barishal,0,23.9,13,0,72
1/18/2022,Barishal,0,24.2,13.6,0,77
1/19/2022,Barishal,0,24.2,14.1,0,77
1/20/2022,Barishal,0,23.5,13.4,0,75
1/21/2022,Barishal,0,24.7,14,0.2,72
1/22/2022,Barishal,0,24.3,15.7,1.2,78
1/23/2022,Barishal,0,25.5,15.9,0.5,77
1/24/2022,Barishal,0,20.4,16.8,3.3,88
1/25/2022,Barishal,0,24.6,15.3,0.2,82
1/26/2022,Barishal,0,25.1,17.9,1,80
1/27/2022,Barishal,0,23.6,15.6,0.6,78
1/28/2022,Barishal,0,22.4,13.6,0,66
1/29/2022,Barishal,0,21.1,12,0,68
1/30/2022,Barishal,0,22.8,11.4,0,73
1/31/2022,Barishal,0,23.9,12.2,0,72
2/1/2022,Barishal,0,25.6,15.2,0.5,80
2/2/2022,Barishal,0,25.8,14.4,0.3,84
2/3/2022,Barishal,0,26.4,16.6,0,81
2/4/2022,Barishal,0,27.3,16.6,5.4,78
2/5/2022,Barishal,0,23.9,15.6,5.1,76
2/6/2022,Barishal,0,22.6,12.5,0,68
2/7/2022,Barishal,0,23.6,12.9,0,76
2/8/2022,Barishal,0,24.4,13.7,0,74
2/9/2022,Barishal,0,25.5,13.8,0,75
2/10/2022,Barishal,0,25.6,16.4,0,75
2/11/2022,Barishal,0,24.9,15.2,0.2,81
2/12/2022,Barishal,3,24.4,15.1,0,66
2/13/2022,Barishal,0,25.7,14.4,0,62
2/14/2022,Barishal,2,26.7,14.3,0,63
2/15/2022,Barishal,0,26.8,13.5,0,64
2/16/2022,Barishal,0,27.3,13.7,0,59
2/17/2022,Barishal,0,27.9,13.9,0,58
2/18/2022,Barishal,0,27.8,16.1,0,54
2/19/2022,Barishal,0,28.3,14.4,0,54
2/20/2022,Barishal,0,27.5,14.6,7.5,74
2/21/2022,Barishal,0,27.5,16.9,0,74
2/22/2022,Barishal,0,27.5,16.6,0,75
2/23/2022,Barishal,0,28.3,16.9,0.2,76
2/24/2022,Barishal,0,29,17.1,0,78
2/25/2022,Barishal,0,30.1,16.8,0,73
2/26/2022,Barishal,0,30.7,18.5,0,69
2/27/2022,Barishal,0,30.9,17.9,0.9,66
2/28/2022,Barishal,0,31,19.4,0,69
3/1/2022,Barishal,0,31.4,19,0,63
3/2/2022,Barishal,0,30.9,19.5,0,56
3/3/2022,Barishal,0,31.9,17.9,0,62
3/4/2022,Barishal,0,31.8,18.8,0,55
