date,temp_mean,temp_min,temp_max,rain,humidity,pressure,division
2021-12-01,21.4,16.52,26.52,0.0,83.3,101.35,Barishal
2021-12-02,22.48,17.33,27.75,0.0,79.07,101.35,Barishal
2021-12-03,22.86,18.06,26.79,0.69,81.13,101.47,Barishal
2021-12-04,22.41,20.4,24.81,15.99,89.9,101.42,Barishal
2021-12-05,22.94,21.76,25.1,36.22,91.91,101.41,Barishal
2021-12-06,23.79,22.11,26.08,33.93,91.95,101.15,Barishal
2021-12-07,23.97,21.53,26.99,27.83,89.66,101.24,Barishal
2021-12-08,22.58,20.07,25.62,6.83,90.49,101.48,Barishal
2021-12-09,22.72,20.18,25.95,1.29,89.71,101.64,Barishal
2021-12-10,21.12,18.84,24.41,0.32,85.54,101.62,Barishal
2021-12-11,20.47,16.72,25.22,0.99,83.39,101.63,Barishal
2021-12-12,18.84,15.6,23.42,0.0,81.74,101.71,Barishal
2021-12-13,17.53,13.13,22.4,0.0,82.21,101.61,Barishal
2021-12-14,17.81,13.55,22.79,0.0,85.49,101.49,Barishal
2021-12-15,17.71,13.76,22.2,0.0,86.09,101.47,Barishal
2021-12-16,17.5,13.34,22.32,0.0,86.69,101.51,Barishal
2021-12-17,17.76,14.02,22.91,0.0,85.49,101.51,Barishal
2021-12-18,17.88,13.12,23.49,0.0,81.77,101.46,Barishal
2021-12-19,17.18,13.33,22.35,0.0,85.61,101.54,Barishal
2021-12-20,15.28,10.94,20.73,0.0,80.88,101.58,Barishal
2021-12-21,15.51,10.43,20.94,0.0,81.07,101.47,Barishal
2021-12-22,16.87,12.61,20.84,0.0,79.18,101.32,Barishal
2021-12-23,18.28,13.62,22.68,0.0,75.25,101.32,Barishal
2021-12-24,18.14,13.32,22.77,0.0,81.33,101.38,Barishal
2021-12-25,18.6,13.82,23.07,0.0,78.77,101.46,Barishal
2021-12-26,18.52,14.36,23.36,0.0,80.26,101.66,Barishal
2021-12-27,18.05,14.17,22.68,0.0,81.59,101.74,Barishal
2021-12-28,18.21,13.91,22.79,0.0,83.39,101.7,Barishal
2021-12-29,18.5,14.28,23.33,0.0,79.81,101.7,Barishal
2021-12-30,18.64,14.53,24.16,0.0,83.06,101.85,Barishal
2021-12-31,18.32,14.59,23.28,0.0,85.1,101.89,Barishal
2022-01-01,17.69,13.61,22.59,0.0,83.85,101.82,Barishal
2022-01-02,17.02,13.45,21.54,0.0,85.56,101.67,Barishal
2022-01-03,17.33,12.91,22.25,0.0,84.82,101.56,Barishal
2022-01-04,16.97,13.63,21.49,0.0,86.26,101.62,Barishal
2022-01-05,16.93,11.73,22.5,0.0,82.2,101.56,Barishal
2022-01-06,17.39,11.95,22.91,0.0,80.4,101.52,Barishal
2022-01-07,18.11,13.17,23.25,0.0,83.72,101.58,Barishal
2022-01-08,18.65,13.79,23.8,0.0,84.65,101.56,Barishal
2022-01-09,19.05,14.28,23.61,0.0,84.24,101.4,Barishal
2022-01-10,19.55,14.61,23.99,0.0,84.17,101.44,Barishal
2022-01-11,19.64,15.26,24.01,0.0,85.57,101.43,Barishal
2022-01-12,19.32,16.14,22.67,1.46,88.19,101.43,Barishal
2022-01-13,19.48,16.28,22.61,0.75,86.7,101.53,Barishal
2022-01-14,18.42,16.09,22.32,3.25,84.08,101.55,Barishal
2022-01-15,18.0,14.1,22.35,0.38,79.97,101.49,Barishal
2022-01-16,17.45,14.03,22.41,0.05,82.44,101.67,Barishal
2022-01-17,16.76,11.83,22.61,0.0,82.31,101.72,Barishal
2022-01-18,17.34,12.1,22.72,0.0,81.41,101.52,Barishal
2022-01-19,17.87,13.32,22.25,0.0,78.65,101.33,Barishal
2022-01-20,17.85,13.32,22.4,0.0,77.73,101.1,Barishal
2022-01-21,18.36,13.82,23.05,0.0,69.4,101.15,Barishal
2022-01-22,19.1,14.95,22.94,0.01,70.89,101.07,Barishal
2022-01-23,19.25,15.31,24.01,0.0,76.39,101.08,Barishal
2022-01-24,18.94,16.28,21.95,3.63,91.24,101.04,Barishal
2022-01-25,19.38,16.69,22.65,1.78,83.34,101.08,Barishal
2022-01-26,19.31,15.33,23.02,1.32,79.42,101.24,Barishal
2022-01-27,18.23,15.01,22.07,3.05,85.01,101.31,Barishal
2022-01-28,16.05,11.92,21.12,2.85,75.56,101.52,Barishal
2022-01-29,14.75,10.33,19.59,0.0,78.57,101.49,Barishal
2022-01-30,15.81,10.62,20.99,0.0,73.13,101.26,Barishal
2022-01-31,17.46,13.41,22.39,0.0,66.79,101.21,Barishal
2022-02-01,18.52,14.49,23.39,0.1,81.99,101.07,Barishal
2022-02-02,19.19,14.43,24.25,0.29,71.58,101.25,Barishal
2022-02-03,19.09,14.53,24.41,0.01,78.41,101.27,Barishal
2022-02-04,19.84,15.99,24.42,1.23,85.04,101.1,Barishal
2022-02-05,18.74,14.0,22.54,27.51,76.16,101.15,Barishal
2022-02-06,16.49,11.93,21.68,22.32,75.47,101.55,Barishal
2022-02-07,16.18,11.42,21.16,0.0,77.06,101.53,Barishal
2022-02-08,17.19,12.22,22.21,0.0,70.57,101.43,Barishal
2022-02-09,17.94,12.78,23.24,0.0,71.87,101.5,Barishal
2022-02-10,19.36,14.06,24.09,0.0,75.34,101.37,Barishal
2022-02-11,19.2,15.02,23.97,0.0,77.34,101.35,Barishal
2022-02-12,17.42,13.52,22.73,0.0,68.45,101.37,Barishal
2022-02-13,17.35,12.08,23.44,0.0,73.81,101.16,Barishal
2022-02-14,17.71,12.09,23.82,0.0,74.4,101.17,Barishal
2022-02-15,18.19,12.72,23.46,0.0,67.0,101.14,Barishal
2022-02-16,18.84,13.25,23.91,0.0,63.15,100.97,Barishal
2022-02-17,18.81,13.11,24.45,0.0,66.05,100.97,Barishal
2022-02-18,19.16,13.77,24.58,0.0,60.47,101.12,Barishal
2022-02-19,19.68,14.54,24.98,0.0,57.32,101.21,Barishal
2022-02-20,20.46,15.08,25.71,1.74,72.65,100.89,Barishal
2022-02-21,20.76,15.89,25.23,6.75,70.8,100.92,Barishal
2022-02-22,21.08,15.97,25.96,0.86,71.27,101.37,Barishal
2022-02-23,21.96,17.2,27.42,0.01,67.22,101.58,Barishal
2022-02-24,22.15,18.03,27.94,0.03,79.48,101.57,Barishal
2022-02-25,22.86,18.24,28.49,0.45,75.06,101.52,Barishal
2022-02-26,23.69,19.11,28.25,0.03,73.09,101.56,Barishal
2022-02-27,22.72,17.75,27.7,0.04,71.38,101.51,Barishal
2022-02-28,24.1,19.85,28.77,1.26,66.23,101.39,Barishal
2022-03-01,23.5,19.14,28.0,0.31,66.94,101.44,Barishal
2022-03-02,22.42,17.42,27.8,0.0,65.64,101.41,Barishal
2022-03-03,22.77,17.22,28.17,0.0,64.27,101.37,Barishal
2022-03-04,23.09,17.34,28.25,0.0,61.14,101.29,Barishal
2022-03-05,24.25,19.54,29.05,0.0,55.06,101.16,Barishal
2022-03-06,23.41,18.71,29.29,0.0,63.1,101.11,Barishal
2022-03-07,23.32,17.26,29.9,0.0,67.72,101.1,Barishal
2022-03-08,24.22,17.74,30.15,0.0,60.03,101.01,Barishal
2022-03-09,24.72,18.29,30.24,0.0,60.52,101.0,Barishal
2022-03-10,24.5,17.83,30.4,0.0,56.91,100.98,Barishal
2022-03-11,24.35,17.69,29.98,0.0,57.02,100.93,Barishal
2022-03-12,24.35,18.89,30.44,0.0,57.46,100.86,Barishal
2022-03-13,24.53,18.18,31.14,0.0,58.7,100.9,Barishal
2022-03-14,25.6,18.45,32.17,0.0,54.09,100.84,Barishal
2022-03-15,26.45,20.62,32.64,0.0,51.05,100.64,Barishal
2022-03-16,25.82,19.16,33.32,0.0,67.26,100.58,Barishal
2022-03-17,27.29,21.39,33.57,0.0,59.8,100.71,Barishal
2022-03-18,27.26,20.26,33.74,0.0,60.68,100.71,Barishal
2022-03-19,27.15,20.72,34.57,0.0,60.52,100.56,Barishal
2022-03-20,26.41,21.07,33.26,0.0,66.03,100.54,Barishal
2022-03-21,26.47,21.12,33.57,0.0,68.53,100.68,Barishal
2022-03-22,27.35,22.05,33.95,0.0,67.82,100.68,Barishal
2022-03-23,28.88,22.75,35.77,0.0,65.73,100.62,Barishal
2022-03-24,28.22,23.94,34.19,0.0,70.99,100.63,Barishal
2022-03-25,27.82,23.62,33.73,0.02,76.61,100.71,Barishal
