sensitivity,horizon_weeks,variant,n_rows,rows_dropped_pct,metric,anchored,level_Tweedie,boot_lo,boot_hi,boot_p,verdict
A · missing-report zeros,1,all rows,6720.0,0.0,skill vs persistence (%),13.45,9.45,,,,
A · missing-report zeros,1,report-gap rows removed,6171.0,8.17,skill vs persistence (%),12.4,8.5,,,,
A · missing-report zeros (coverage),1,all rows,6720.0,0.0,interval coverage (fraction),0.868,,,,,
A · missing-report zeros (coverage),1,report-gap rows removed,6171.0,8.17,interval coverage (fraction),0.8848,,,,,
A · missing-report zeros,2,all rows,6720.0,0.0,skill vs persistence (%),20.07,17.54,,,,
A · missing-report zeros,2,report-gap rows removed,6158.0,8.36,skill vs persistence (%),19.07,17.39,,,,
A · missing-report zeros (coverage),2,all rows,6720.0,0.0,interval coverage (fraction),0.8731,,,,,
A · missing-report zeros (coverage),2,report-gap rows removed,6158.0,8.36,interval coverage (fraction),0.8873,,,,,
B · rain source mismatch,1,with rain,,,district-vs-divisional DiD (pp),12.63,,3.9,17.31,0.0,gap is larger at coarse resolution
B · rain source mismatch,1,rain removed,,,district-vs-divisional DiD (pp),15.37,,5.71,19.92,0.0,gap is larger at coarse resolution
B · rain source mismatch,2,with rain,,,district-vs-divisional DiD (pp),11.31,,-5.37,30.39,0.2475,no significant resolution effect
B · rain source mismatch,2,rain removed,,,district-vs-divisional DiD (pp),12.99,,-3.46,31.31,0.1775,no significant resolution effect
B · rain source mismatch,3,with rain,,,district-vs-divisional DiD (pp),8.06,,-9.73,23.0,0.565,no significant resolution effect
B · rain source mismatch,3,rain removed,,,district-vs-divisional DiD (pp),8.34,,-8.12,19.97,0.585,no significant resolution effect
B · rain source mismatch,4,with rain,,,district-vs-divisional DiD (pp),11.79,,-11.54,35.51,0.47,no significant resolution effect
B · rain source mismatch,4,rain removed,,,district-vs-divisional DiD (pp),12.48,,-11.51,37.77,0.44,no significant resolution effect
