horizon_weeks,model,key,ensemble_skill_pct,single_seed_min_pct,single_seed_max_pct,single_seed_sd_pct,n_seeds
1,LightGBM level (L2),level_L2,-8.25,-9.09,-7.99,0.57,3
1,LightGBM level (Tweedie),level_Tweedie,8.95,6.6,9.93,1.69,3
1,LightGBM anchored growth (L1),anchored_L1,14.53,13.46,15.24,0.97,3
1,LightGBM anchored growth (L2),anchored_L2,9.82,8.61,10.04,0.73,3
2,LightGBM level (L2),level_L2,-0.5,-2.69,0.34,1.52,3
2,LightGBM level (Tweedie),level_Tweedie,17.55,15.59,17.77,1.13,3
2,LightGBM anchored growth (L1),anchored_L1,19.09,14.91,20.04,2.95,3
2,LightGBM anchored growth (L2),anchored_L2,14.42,13.31,15.14,0.92,3
3,LightGBM level (L2),level_L2,-2.97,-5.52,-1.84,1.92,3
3,LightGBM level (Tweedie),level_Tweedie,19.03,16.42,18.79,1.21,3
3,LightGBM anchored growth (L1),anchored_L1,14.13,12.09,16.52,2.53,3
3,LightGBM anchored growth (L2),anchored_L2,11.73,10.58,12.0,0.77,3
4,LightGBM level (L2),level_L2,-5.92,-7.48,-5.52,0.99,3
4,LightGBM level (Tweedie),level_Tweedie,15.71,13.41,15.94,1.27,3
4,LightGBM anchored growth (L1),anchored_L1,15.11,9.36,16.94,4.19,3
4,LightGBM anchored growth (L2),anchored_L2,13.99,11.66,16.19,2.27,3
