stratum_type,stratum,n_unit_weeks,outbreak_weeks,sensitivity,missed_outbreak_weeks,false_alarms,false_alarm_rate,median_cases_when_missed,median_cases_when_false_alarm
burden tertile,high burden,2310,257,0.397,155,283,0.1378,108.0,19.0
burden tertile,low burden,2310,276,0.112,245,88,0.0433,11.0,0.0
burden tertile,mid burden,2100,233,0.082,214,107,0.0573,46.0,1.0
division,Barishal,630,98,0.52,47,163,0.3064,59.0,13.0
division,Chattogram,1155,131,0.344,86,121,0.1182,47.5,6.0
division,Dhaka,1365,189,0.212,149,133,0.1131,74.0,12.0
division,Khulna,1050,64,0.172,53,19,0.0193,37.0,0.0
division,Mymensingh,420,64,0.047,61,7,0.0197,44.0,0.0
division,Rajshahi,840,66,0.03,64,5,0.0065,27.5,0.0
division,Rangpur,840,121,0.0,121,7,0.0097,9.0,0.0
division,Sylhet,420,33,0.0,33,23,0.0594,7.0,0.0
