held_out_season,week_size_tercile,n,median_cases,MAE_persistence,MAE_model,skill_pct,mean_bias_model,evaluation
2022,small weeks,939,0.0,0.93,0.92,0.52,-0.81,retrospective probe
2022,medium weeks,938,0.0,0.91,0.9,0.47,-0.82,retrospective probe
2022,large weeks,939,9.0,27.24,17.44,35.99,-3.24,retrospective probe
2023,small weeks,1109,0.0,1.64,1.62,1.11,-1.6,retrospective probe
2023,medium weeks,1109,4.0,10.24,9.19,10.23,-6.1,retrospective probe
2023,large weeks,1110,128.0,92.56,96.72,-4.48,10.36,retrospective probe
2024,small weeks,1131,0.0,1.22,1.18,3.02,-1.1,prospective
2024,medium weeks,1130,1.0,2.6,2.3,11.42,-1.37,prospective
2024,large weeks,1131,30.0,32.28,22.12,31.47,-9.3,prospective
2025,small weeks,1109,0.0,1.37,1.34,2.13,-1.13,prospective
2025,medium weeks,1109,3.0,4.29,3.68,14.22,-1.04,prospective
2025,large weeks,1110,36.0,31.63,27.69,12.43,0.78,prospective
2026,small weeks,512,0.0,1.27,1.25,1.52,-1.17,retrospective probe
2026,medium weeks,512,0.0,0.95,0.87,8.57,-0.64,retrospective probe
2026,large weeks,512,5.0,6.28,4.43,29.42,-1.28,retrospective probe
