horizon_weeks,comparison,delta_MAE,boot_lo,boot_hi,boot_excludes_0,spatial_boot_lo,spatial_boot_hi,spatial_boot_excludes_0,DM_t,DM_p_raw,n_units,DM_p_BH,dm_reject_BH,evidence,survives_spatial_blocking
1,LightGBM anchored growth (L1) vs Lag-0 persistence,-1.221,-1.863,-0.712,True,-1.942,-0.508,True,-2.955,0.0044,64,0.0333,True,both tests,True
1,LightGBM level (Tweedie) vs Lag-0 persistence,-0.858,-1.71,-0.306,True,-1.782,-0.243,True,-2.482,0.0157,64,0.0523,False,bootstrap only,True
1,LightGBM anchored growth (L1) vs LightGBM level (Tweedie),-0.363,-0.876,0.084,False,-1.007,0.139,False,-3.23,0.002,64,0.0333,True,DM only,False
1,LightGBM anchored growth (L1) vs LightGBM anchored growth (L2),-0.549,-1.007,-0.169,True,-0.969,-0.147,True,-1.946,0.0561,64,0.1247,False,bootstrap only,True
1,"LightGBM anchored growth (L1) vs ARIMA(2, 1, 2) per district (order from Naher 2022, national monthly)",-5.54,-8.542,-3.211,True,-8.924,-2.595,True,-2.74,0.008,64,0.0356,True,both tests,True
2,LightGBM anchored growth (L1) vs Lag-0 persistence,-2.455,-4.181,-1.113,True,-4.267,-0.681,True,-2.156,0.0349,64,0.0872,False,bootstrap only,True
2,LightGBM level (Tweedie) vs Lag-0 persistence,-2.146,-4.306,-0.577,True,-4.275,-0.308,True,-1.581,0.1188,64,0.2376,False,bootstrap only,True
2,LightGBM anchored growth (L1) vs LightGBM level (Tweedie),-0.309,-0.831,0.306,False,-0.904,0.27,False,-0.967,0.3372,64,0.4215,False,neither,False
2,LightGBM anchored growth (L1) vs LightGBM anchored growth (L2),-0.709,-1.424,-0.151,True,-1.31,-0.127,True,-1.52,0.1335,64,0.2427,False,bootstrap only,True
2,"LightGBM anchored growth (L1) vs ARIMA(2, 1, 2) per district (order from Naher 2022, national monthly)",-7.54,-11.459,-4.448,True,-12.168,-3.624,True,-2.912,0.005,64,0.0333,True,both tests,True
3,LightGBM anchored growth (L1) vs Lag-0 persistence,-2.538,-5.516,-0.105,True,-5.989,0.808,False,-1.392,0.1689,64,0.2782,False,bootstrap only,False
3,LightGBM level (Tweedie) vs Lag-0 persistence,-3.305,-7.366,-0.493,True,-7.532,-0.052,True,-1.353,0.1808,64,0.2782,False,bootstrap only,True
3,LightGBM anchored growth (L1) vs LightGBM level (Tweedie),0.767,-0.659,2.548,False,-0.626,2.456,False,0.822,0.4143,64,0.4874,False,neither,False
3,LightGBM anchored growth (L1) vs LightGBM anchored growth (L2),-0.282,-1.006,0.302,False,-0.965,0.396,False,-0.635,0.5276,64,0.5855,False,neither,False
3,"LightGBM anchored growth (L1) vs ARIMA(2, 1, 2) per district (order from Naher 2022, national monthly)",-7.955,-12.598,-4.22,True,-13.773,-2.676,True,-2.7,0.0089,64,0.0356,True,both tests,True
4,LightGBM anchored growth (L1) vs Lag-0 persistence,-3.124,-8.111,0.656,False,-8.673,2.141,False,-1.064,0.2912,64,0.3883,False,neither,False
4,LightGBM level (Tweedie) vs Lag-0 persistence,-3.16,-8.361,0.2,False,-9.185,1.17,False,-1.141,0.2584,64,0.3691,False,neither,False
4,LightGBM anchored growth (L1) vs LightGBM level (Tweedie),0.036,-1.823,2.246,False,-2.583,3.031,False,0.04,0.9682,64,0.9682,False,neither,False
4,LightGBM anchored growth (L1) vs LightGBM anchored growth (L2),-0.459,-1.718,0.524,False,-1.57,0.703,False,-0.592,0.5562,64,0.5855,False,neither,False
4,"LightGBM anchored growth (L1) vs ARIMA(2, 1, 2) per district (order from Naher 2022, national monthly)",-8.948,-15.566,-3.898,True,-16.768,-2.029,True,-2.228,0.0295,64,0.0843,False,bootstrap only,True
