horizon_weeks,method,key,nominal,empirical_coverage,median_width_cases,mean_width_cases,WIS,cov_t,cov_p_raw,n_units,cov_p_BH,verdict
1,Empirical growth quantiles (no model),empirical,0.9,0.8387,7.1,76.27,6.202,-8.755,0.0,64,0.0,differs from 0.90 (BH q<0.05)
1,Quantile LightGBM (uncalibrated),raw,0.9,0.8329,6.51,28.33,4.433,-9.326,0.0,64,0.0,differs from 0.90 (BH q<0.05)
1,Split-conformal CQR,split,0.9,0.8613,7.3,31.24,4.393,-5.903,0.0,64,0.0,differs from 0.90 (BH q<0.05)
1,Group-conditional conformal (Mondrian),mondrian,0.9,0.8638,7.74,34.41,4.365,-7.032,0.0,64,0.0,differs from 0.90 (BH q<0.05)
1,Adaptive conformal (ACI),adaptive,0.9,0.885,8.06,35.59,4.379,-2.613,0.0112,64,0.0144,differs from 0.90 (BH q<0.05)
1,Group-conditional adaptive conformal,mondrian_adaptive,0.9,0.8835,8.3,38.55,4.383,-3.483,0.0009,64,0.0013,differs from 0.90 (BH q<0.05)
2,Empirical growth quantiles (no model),empirical,0.9,0.8738,10.65,135.76,9.209,-5.049,0.0,64,0.0,differs from 0.90 (BH q<0.05)
2,Quantile LightGBM (uncalibrated),raw,0.9,0.8427,8.48,36.52,5.364,-8.0,0.0,64,0.0,differs from 0.90 (BH q<0.05)
2,Split-conformal CQR,split,0.9,0.8686,9.29,39.87,5.336,-4.82,0.0,64,0.0,differs from 0.90 (BH q<0.05)
2,Group-conditional conformal (Mondrian),mondrian,0.9,0.8662,9.47,43.33,5.324,-6.686,0.0,64,0.0,differs from 0.90 (BH q<0.05)
2,Adaptive conformal (ACI),adaptive,0.9,0.8888,10.11,44.06,5.372,-1.883,0.0644,64,0.0773,indistinguishable from 0.90
2,Group-conditional adaptive conformal,mondrian_adaptive,0.9,0.8871,10.21,48.7,5.418,-2.755,0.0077,64,0.0107,differs from 0.90 (BH q<0.05)
4,Empirical growth quantiles (no model),empirical,0.9,0.9052,27.37,339.33,18.594,1.184,0.241,64,0.2552,indistinguishable from 0.90
4,Quantile LightGBM (uncalibrated),raw,0.9,0.8418,11.35,51.13,9.446,-6.964,0.0,64,0.0,differs from 0.90 (BH q<0.05)
4,Split-conformal CQR,split,0.9,0.8676,12.08,54.7,9.402,-4.316,0.0001,64,0.0002,differs from 0.90 (BH q<0.05)
4,Group-conditional conformal (Mondrian),mondrian,0.9,0.8674,12.65,59.62,9.333,-5.135,0.0,64,0.0,differs from 0.90 (BH q<0.05)
4,Adaptive conformal (ACI),adaptive,0.9,0.8942,14.63,67.1,9.491,-0.92,0.361,64,0.361,indistinguishable from 0.90
4,Group-conditional adaptive conformal,mondrian_adaptive,0.9,0.893,14.3,74.92,9.539,-1.249,0.2162,64,0.2432,indistinguishable from 0.90
